Section,Description,Qty,Unit Cost,Total Cost,Supplier,Link
,Hot Glue Sticks (bulk),500,$0.05,$25.00,Amazon,
,Sandpaper Assortment (80-400 grit),1,$75.00,$75.00,Amazon,
,Spray Paint (primer + colors),20,$6.00,$120.00,Amazon,
,Subtotal,,,$285.00,,
,,,,,,
RECURRING CONSUMABLES - Safety & PPE,,,,,,
,Safety Glasses (25-pack),1,$75.00,$75.00,Amazon,https://www.amazon.com/dp/B07BKSJ4Z4
,Nitrile Gloves (boxes of 100),10,$12.00,$120.00,Amazon,
,Dust Masks N95 (box of 20),10,$18.00,$180.00,Amazon,
,Ear Plug Dispenser (200 pairs),1,$40.00,$40.00,Amazon,https://www.amazon.com/dp/B001AZ1GGC
,Subtotal,,,$415.00,,
,,,,,,
RECURRING CONSUMABLES - CNC/Plasma,,,,,,
,Plasma Consumable Kit,2,$45.00,$90.00,Amazon,
,Subtotal,,,$90.00,,
,,,,,,
RECURRING CONSUMABLES - Machine and Tool Annual Maintenance,,,,,,
,Machine and Tool Annual Maintenance,1,$2000.00,$2000.00,,
,Subtotal,,,$2000.00,,
,,,,,,
PROJECT 1: 3D Printed Fidget Spinner (Individual - 60 students),,,,,,
,608 Skateboard Bearings (10-pack),20,$8.00,$160.00,Amazon,https://www.amazon.com/dp/B07B8Z5S8N
,PLA Filament,—,—,—,See Consumables,
,Subtotal,,,$160.00,,
,,,,,,
PROJECT 2: LED Sign/Wall Art (Groups - 15-20 teams),,,,,,
,"Soldering Supplies (solder, flux, tip cleaner)",1,$50.00,$50.00,Amazon,
,LED Strips,—,—,—,See Consumables,
,Power Supplies,—,—,—,See Consumables,
,Plywood/Acrylic,—,—,—,See Consumables,
,Sheet Metal/Plasma Consumables,—,—,—,See Consumables,
,Subtotal,,,$50.00,,
,,,,,,
PROJECT 3: Custom Acrylic Christmas Ornament (Individual - 60 students),,,,,,
,LED Light Base Kit with Remote (12-pack),5,$28.00,$140.00,Amazon,https://www.amazon.com/dp/B09YV91NGZ
,Acrylic Blanks,—,—,—,See Consumables,
,Subtotal,,,$140.00,,
,,,,,,
PROJECT 4: Silicone Molds (Individual - 60 students),,,,,,
,Silicone Mold Making Kit 1 Gallon (~15 molds each),5,$74.77,$373.85,Amazon,https://www.amazon.com/Silicone-Making-Rubber-Platinum-Gallon/dp/B0966H25Z8
,Mold Release Spray,3,$12.00,$36.00,Amazon,
,Mixing Cups & Stir Sticks (lot),1,$25.00,$25.00,Amazon,
,PLA for mold masters,—,—,—,See Consumables,
,Subtotal,,,$434.85,,
,,,,,,
PROJECT 5: Automated Plant Watering (Groups - 20 kits),,,,,,
,Arduino Uno R3 Compatible,20,$8.50,$170.00,Amazon,https://www.amazon.com/ELEGOO-Board-ATmega328P-ATMEGA16U2-Compliant/dp/B01EWOE0UU
,Capacitive Soil Moisture Sensor v1.2,20,$4.25,$85.00,Amazon,https://www.amazon.com/Capacitive-Moisture-Corrosion-Resistant-Voltage/dp/B0981CH1RK
,Mini Submersible Water Pump 3-6V,20,$3.50,$70.00,Amazon,https://www.amazon.com/Gikfun-Submersible-Fountain-Aquarium-EK1893/dp/B07BHD6KXS
,5V Relay Module Single Channel,20,$2.00,$40.00,Amazon,https://www.amazon.com/HiLetgo-Channel-optocoupler-Support-Trigger/dp/B00LW15A4W
,"Silicone Tubing 1/4"" ID (per foot)",60,$0.35,$21.00,Amazon,
,9V Battery Holder with Switch,20,$1.50,$30.00,Amazon,
,9V Rechargeable Batteries (2-pack),20,$12.00,$240.00,Amazon,
,Water Containers 500mL,20,$2.00,$40.00,Amazon,
,Waterproof Silicone Sealant,10,$5.50,$55.00,Amazon,
,Breadboards/Jumpers/USB,—,—,—,See Consumables,
,Polycarbonate Panels,—,—,—,See Consumables,
,Subtotal,,,$751.00,,
,,,,,,
PROJECT 6: Capstone Project (Groups - 15-20 teams),,,,,,
,Materials from existing stock,—,—,—,See Consumables,
,Subtotal,,,$0.00,,
,,,,,,
,,,,,,
BUDGET SUMMARY,,,,,,
,Course Development,,,$3649.25,,
,Capital Improvements (One-Time Purchase),,,$8363.00,,
,Recurring: 3D Printing,,,$1265.60,,
,Recurring: Sheet Materials,,,$1736.00,,
,Recurring: Electronics,,,$695.00,,
,Recurring: Adhesives & Finishing,,,$285.00,,
,Recurring: Safety & PPE,,,$415.00,,
,Recurring: CNC/Plasma,,,$90.00,,
,Recurring: Machine and Tool Annual Maintenance,,,$2000.00,,
,Project 1: Fidget Spinner,,,$160.00,,
,Project 2: LED Sign/Wall Art,,,$50.00,,
,Project 3: Acrylic Ornament,,,$140.00,,
,Project 4: Silicone Molds,,,$434.85,,
,Project 5: Plant Watering,,,$751.00,,
,Project 6: Capstone,,,$0.00,,
,,,,,,
,RECURRING COSTS TOTAL,,,$10906.70,,
,CAPITAL IMPROVEMENTS TOTAL,,,$8363.00,,
,GRAND TOTAL (ALL),,,$20034.70,,
